uid	field	DE	ES (dry-run; kw auf 60 Z. gekappt)
14	keywords	altbau, altes, haus, angebaut, angemalt, angeordnet, antik, antikes, architektonisch, architektur, attraktion, ausflug, ausflüge, äusseres, barock, baustile, bauwerke, bemalt, besinnung, bibel, bildhaft, bmw, building, bunt, bürgersteige, city, deko, dekor, dekoration, denkmal, denkmäler, detail, details, deutsche, deutschland, downtown, draußen, europa, fassade, fassaden, fenster, fensterbank, fensterbänke, fensterscheiben, ferien, figuren, fremdenverkehr, früher, fusswege, gebäude, gebaut, gegensatz, gegensätze, gelblich, geordnet, gerade, geschichte, geschichtlich, gestrichen, glockenturm, glockentürme, gott, grau, hausansicht, herrlichkeiten, historic, history, hoheitsvoll, immobilien, innenstadt, innenstädte, jesus, kirchen, kirchturm, kirchtürme, kirchturmuhren, klassik, kunst, künste, kunstvoll, laternen, laternenpfahl, laternenpfähle, luxus, macht, mächte, marmor, martin, luther, mauerwerke, mehrfamilienhaus, mehrfamilienhäuser, mieten, mietshaus, mietshäuser, mietwohnungen, monuments, picturesque, reichtum, reiligion, religiös, restauriert, säulen, schöner, schönheit, sehenswürdigkeiten, sidewalk, sightseeing, spirituell, sprossen, sprossenfenster, stabil, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, stil, straßen, straßenrand, straßenränder, straßenschilder, struktuiert, strukturen, stuck, stuckateur, stuckatur, style, symbole, symmetrie, symmetrisch, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, trip, turm, türme, vergangenheit, weiß, weißlich, detailfoto, detailbild, ausschnitt	edificio antiguo, antiguo, casa antigua, añadido, pintado, o
15	title	Innenansicht vom Augenoptiker	Vista interior del óptico
15	keywords	angeordnet, augen, beleuchtet, beleuchtung, bunt, büro, business, firma, firmen, geordnet, glas, gläser, immobilien, innenraum, innenräume, innenstadt, innenstädte, inneres, interieur, lampen, modern, nahaufnahmen, office, raum, räume, sesellehnen, sessel, stadt, stadtansichten, stadtzentren, stadtzentrum, town, überfluss, zimmer, brillen, brillenrahmen, brillengläser, regale, brillenregale, optiker, schaufenster, kassen, messgeräte, laden, geschäft, einzelhandel, verkaufsraum, verkaufsräume	ordenado, ojos, iluminado, iluminación, colorido, oficina, n
16	title	Austin Seven Ulster - freigestellt	Austin Seven Ulster - recortado
16	keywords	Wartezimmer, abgase, achsen, alt, altes, antik, antikes, ausgeglichen, ausgeschnitten, äusseres, autositze, bejahrt, CO2, eisen, erlebnis, europa, exemplare, federn, federung, felgen, freigestellt, freistellen, frontscheibe, früher, gebaut, geformt, gelblich, gepflegt, geschichte, geschichtlich, glänzen, glänzend, glatt, gleißchmäßig, historic, history, jahrgänge, klassik, kofferraum, konstruiert, konstruktionen, lampen, lenkrad, lenkräder, lichter, luxus, metalle, motoren, nostalgie, nostalgisch, nummernschild, objekt, oldtimer, omas, opas, reich, reichtum, reisen, rennwagen, restauriert, retro, romatisch, rustikal, schrauben, sportwagen, stabil, stahl, stil, style, tachometer, technologien, travel, türen, türschlösser, uralte, vergangenheit, autos, ausschnitt, zweisitzer, ausfahrt, fanclub, hobby, heck, baujahr, oldies, rücklichter, blincker, Makro, Macro	sala de espera, gases de escape, ejes, antiguo, equilibrado,
17	title	Austin Seven Ulster - freigestellt	Austin Seven Ulster - recortado
17	keywords	Wartezimmer, abgase, achsen, alt, altes, antik, antikes, ausgeglichen, ausgeschnitten, äusseres, autositze, bejahrt, CO2, eisen, erlebnis, europa, exemplare, federn, federung, felgen, freigestellt, freistellen, frontscheibe, früher, gebaut, geformt, gelblich, gepflegt, geschichte, geschichtlich, glänzen, glänzend, glatt, gleißchmäßig, historic, history, jahrgänge, klassik, kofferraum, konstruiert, konstruktionen, lampen, lenkrad, lenkräder, lichter, luxus, metalle, motoren, nostalgie, nostalgisch, nummernschild, objekt, oldtimer, omas, opas, reich, reichtum, reisen, rennwagen, restauriert, retro, romatisch, rustikal, schrauben, sportwagen, stabil, stahl, stil, style, tachometer, technologien, travel, türen, türschlösser, uralte, vergangenheit, autos, ausschnitt, zweisitzer, ausfahrt, fanclub, hobby, heck, baujahr, oldies, rücklichter, blincker, Makro, Macro	sala de espera, gases de escape, ejes, antiguo, equilibrado,
18	title	BMW 321 - freigestellt	BMW 321 - recortado
18	keywords	Wartezimmer, bmw, abgase, achsen, alt, Makro, Macroaltes, antik, antikes, ausgeglichen, ausgeschnitten, äusseres, autositze, bejahrt, CO2, eisen, erlebnis, europa, exemplare, federn, federung, felgen, freigestellt, freistellen, front, frontscheibe, früher, gebaut, geformt, gelblich, gepflegt, geschichte, geschichtlich, glänzen, glänzend, glatt, gleißchmäßig, historic, history, jahrgänge, klassik, kofferraum, konstruiert, konstruktionen, lampen, lenkrad, lenkräder, lichter, luxus, metalle, motoren, motorhaube, motorraum, nostalgie, nostalgisch, nummernschild, objekt, oldtimer, omas, opas, reich, reichtum, reisen, rennwagen, restauriert, retro, romatisch, rustikal, scheiben, scheibenwaschanlage, scheibenwischer, schrauben, sportwagen, stabil, stahl, stil, style, tachometer, technologien, travel, türen, türschlösser, uralte, vergangenheit, autos, ausschnitt, ausfahrt, fanclub, hobby, heck, baujahr, oldies, rücklichter, scheinwerfer, blincker, kulturgut	sala de espera, BMW, gases de escape, ejes, antiguo, macrofo
19	title	BMW Cooper - freigestellt	BMW Cooper - recortado
19	keywords	Wartezimmer, abgase, Makro, Macro, achsen, alt, altes, antik, antikes, ausgeglichen, ausgeschnitten, äusseres, autositze, bejahrt, CO2, eisen, erlebnis, europa, exemplare, federn, federung, felgen, freigestellt, freistellen, frontscheibe, früher, gebaut, geformt, gelblich, gepflegt, geschichte, geschichtlich, glänzen, glänzend, glatt, gleißchmäßig, historic, history, jahrgänge, klassik, kofferraum, konstruiert, konstruktionen, lampen, lenkrad, lenkräder, lichter, luxus, metalle, motoren, nostalgie, nostalgisch, nummernschild, objekt, oldtimer, omas, opas, reich, reichtum, reisen, rennwagen, restauriert, retro, romatisch, rustikal, schrauben, sportwagen, stabil, stahl, stil, style, tachometer, technologien, travel, türen, türschlösser, uralte, vergangenheit, autos, ausschnitt, ausfahrt, fanclub, hobby, heck, baujahr, oldies, rücklichter, blincker, einsitzer	sala de espera, gases de escape, macro, ejes, antiguo, antig
20	title	BMW Dixi Ihle - freigestellt	BMW Dixi Ihle - recortado
20	keywords	Wartezimmer, abgase, Makro, Macro, achsen, alt, altes, antik, antikes, ausgeglichen, ausgeschnitten, äusseres, autositze, bejahrt, CO2, eisen, erlebnis, europa, exemplare, federn, federung, felgen, freigestellt, freistellen, frontscheibe, früher, gebaut, geformt, gelblich, gepflegt, geschichte, geschichtlich, glänzen, glänzend, glatt, gleißchmäßig, historic, history, jahrgänge, klassik, kofferraum, konstruiert, konstruktionen, lampen, lenkrad, lenkräder, lichter, luxus, metalle, motoren, nostalgie, nostalgisch, nummernschild, objekt, oldtimer, omas, opas, reich, reichtum, reisen, rennwagen, restauriert, retro, romatisch, rustikal, schrauben, sportwagen, stabil, stahl, stil, style, tachometer, technologien, travel, türen, türschlösser, uralte, vergangenheit, autos, ausschnitt, zweisitzer, ausfahrt, fanclub, hobby, heck, baujahr, oldies, rücklichter, blincker	sala de espera, gases de escape, macro, eje, antiguo, antigü
21	title	Rotes Ziegelsteinwand mit weißen Fugen	Pared de ladrillo rojo con juntas blancas
21	keywords	Bricks, altbau, altes, angeordnet, backstein, bauteil, building, close, up, detail, details, dorf, dörfer, freigestellt, freistellen, fugen, gebäude, gebaut, geordnet, gerade, gestreift, gleißchmäßig, grid, grob, hart, hintergrund, historic, history, homogen, keller, konstruiert, konstruktionen, lehm, mauerfugen, mauerwerke, mustern, nahaufnahmen, nostalgie, nostalgisch, oberflächen, oberflächenstruktur, rau, raum, räume, rechtecke, restauriert, rot, rötlich, rustikal, saniert, sanierungen, sauber, stabil, steine, steinmauern, steinstrukturen, steinwand, steinwände, struktuiert, strukturen, texturen, ziegel, ziegelsteine, ziegelwand, ziegelwände	ladrillos, edificio antiguo, antiguo, dispuesto, ladrillo, e
22	title	Vergrößerung einer roten Ziegelwand mit weißen Fugen	Primer plano de una pared de ladrillo rojo con juntas blanca
22	keywords	Bricks, altbau, altes, angeordnet, backstein, bauteil, building, close, up, detail, details, dorf, dörfer, freigestellt, freistellen, fugen, gebäude, gebaut, geordnet, gerade, gestreift, gleißchmäßig, grid, grob, hart, hintergrund, historic, history, homogen, keller, konstruiert, konstruktionen, lehm, mauerfugen, mauerwerke, mustern, nahaufnahmen, nostalgie, nostalgisch, oberflächen, oberflächenstruktur, rau, raum, räume, rechtecke, restauriert, rot, rötlich, rustikal, saniert, sanierungen, sauber, stabil, steine, steinmauern, steinstrukturen, steinwand, steinwände, struktuiert, strukturen, texturen, ziegel, ziegelsteine, ziegelwand, ziegelwände	ladrillos, edificio antiguo, antiguo, dispuesto, ladrillo, c
23	title	Baumgruppe an der Küste in Irland	Grupo de árboles en la costa de Irlanda
23	keywords	Wartezimmer, abenteuer, allein, alleinstehend, anblick, ast, äste, atlantik, ausflug, ausflüge, ausgeglichen, aussicht, baum, bäume, baumkronen, baumwipfel, bay, berge, berglandschaften, beruhigt, besinnung, bewölkt, bildhaft, blatt, blätter, blau, blauer, bläulich, bucht, colourful, draußen, einsam, entspannen, entspannung, erholung, europa, fantasie, fauna, ferien, fernsicht, fjord, flora, floral, gebirge, gegensatz, gegensätze, gewässer, gras, gräser, grasslands, grün, gruppe, herrlichkeiten, hoheitsvoll, idyllisch, inseln, kontraste, küsten, ländlich, landschaft, landschaftlich, meere, mountain, nadelbaum, nadelbäume, natur, naturfotos, natürlich, norden, nordsee, ozean, reinheit, reisen, reiseziele, rocks, romatisch, schönes, wetter, schönheit, see, seelandschaften, sightseeing, sommer, sonne, sonnenlicht, sonnenschein, sonnig, spazierengehen, spaziergang, spaziergänge, stamm, stämme, szenerien, tal, täler, travel, travelling, umwelt, unkultiviert, vegetation, wandern, wanderungen, wasser, baumgruppe, irland, romantisch, gebüsch, wasserlandschaften	sala de espera, aventura, solo, solitario, vista, árboles, c
24	title	Baumgruppe an der Küste in Irland	Grupo de árboles en la costa de Irlanda
24	keywords	Wartezimmer, abenteuer, allein, alleinstehend, anblick, ast, äste, atlantik, ausflug, ausflüge, ausgeglichen, aussicht, baum, bäume, baumkronen, baumwipfel, bay, berge, berglandschaften, beruhigt, besinnung, bewölkt, bildhaft, blatt, blätter, blau, blauer, bläulich, bucht, colourful, draußen, einsam, entspannen, entspannung, erholung, europa, fantasie, fauna, ferien, fernsicht, fjord, flora, floral, gebirge, gegensatz, gegensätze, gewässer, gras, gräser, grasslands, grün, gruppe, herrlichkeiten, hoheitsvoll, idyllisch, inseln, kontraste, küsten, ländlich, landschaft, landschaftlich, meere, mountain, nadelbaum, nadelbäume, natur, naturfotos, natürlich, norden, nordsee, ozean, reinheit, reisen, reiseziele, rocks, romatisch, schönes, wetter, schönheit, see, seelandschaften, sightseeing, sommer, sonne, sonnenlicht, sonnenschein, sonnig, spazierengehen, spaziergang, spaziergänge, stamm, stämme, szenerien, tal, täler, travel, travelling, umwelt, unkultiviert, vegetation, wandern, wanderungen, wasser, baumgruppe, irland, romantisch, gebüsch, wasserlandschaften	sala de espera, aventura, solo, solitario, vista, árboles, c
25	title	Bayerische Hypotheken und Wechselbank in München	
25	keywords	altbau, altes, haus, angebaut, angeordnet, antik, antikes, architektonisch, architektur, äusseres, baustile, bauwerke, building, bürgersteige, city, deko, dekor, dekoration, denkmal, denkmäler, details, deutsche, deutschland, downtown, draußen, europa, fassade, fassaden, fenster, fensterbank, fensterbänke, fensterscheiben, ferien, figuren, fremdenverkehr, früher, fusswege, gebäude, gebaut, geordnet, gerade, geschichte, geschichtlich, grau, hausansicht, herrlichkeiten, historic, history, hoheitsvoll, immobilien, innenstadt, innenstädte, klassik, kunst, künste, kunstvoll, luxus, macht, mächte, mauerwerke, mehrfamilienhaus, mehrfamilienhäuser, mieten, mietshaus, mietshäuser, mietwohnungen, monuments, reichtum, restauriert, säulen, schöner, schönheit, sehenswürdigkeiten, sidewalk, sightseeing, sprossen, sprossenfenster, stabil, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, stil, straßen, straßenrand, straßenränder, straßenschilder, struktuiert, strukturen, stuck, stuckateur, stuckatur, style, symbole, symmetrie, symmetrisch, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, trip, vergangenheit	edificio antiguo, antiguo, casa antigua, añadido, ordenado, 
26	title	Bayerische Hypotheken und Wechselbank in München	
26	keywords	altbau, altes, haus, angebaut, angeordnet, antik, antikes, architektonisch, architektur, äusseres, baustile, bauwerke, building, bürgersteige, city, deko, dekor, dekoration, denkmal, denkmäler, details, deutsche, deutschland, downtown, draußen, europa, fassade, fassaden, fenster, fensterbank, fensterbänke, fensterscheiben, ferien, figuren, fremdenverkehr, früher, fusswege, gebäude, gebaut, geordnet, gerade, geschichte, geschichtlich, grau, hausansicht, herrlichkeiten, historic, history, hoheitsvoll, immobilien, innenstadt, innenstädte, klassik, kunst, künste, kunstvoll, luxus, macht, mächte, mauerwerke, mehrfamilienhaus, mehrfamilienhäuser, mieten, mietshaus, mietshäuser, mietwohnungen, monuments, reichtum, restauriert, säulen, schöner, schönheit, sehenswürdigkeiten, sidewalk, sightseeing, sprossen, sprossenfenster, stabil, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, stil, straßen, straßenrand, straßenränder, straßenschilder, struktuiert, strukturen, stuck, stuckateur, stuckatur, style, symbole, symmetrie, symmetrisch, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, trip, vergangenheit	edificio antiguo, antiguo, casa antigua, adosado, organizado
27	title	Bayerische Hypotheken und Wechselbank in München aus der Nähe	
27	keywords	altbau, altes, haus, angebaut, angeordnet, antik, antikes, architektonisch, architektur, äusseres, baustile, bauwerke, building, city, deko, dekor, dekoration, denkmal, denkmäler, details, deutsche, deutschland, downtown, draußen, europa, fassade, fassaden, fenster, fensterbank, fensterbänke, fensterscheiben, ferien, figuren, fremdenverkehr, früher, fusswege, gebäude, gebaut, geordnet, gerade, geschichte, geschichtlich, grau, hausansicht, herrlichkeiten, historic, history, hoheitsvoll, immobilien, innenstadt, innenstädte, klassik, kunst, künste, kunstvoll, luxus, macht, mächte, mauerwerke, mehrfamilienhaus, mehrfamilienhäuser, mieten, mietshaus, mietshäuser, mietwohnungen, monuments, reichtum, restauriert, säulen, schöner, schönheit, sehenswürdigkeiten, sidewalk, sightseeing, sprossen, sprossenfenster, stabil, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, stil, straßen, straßenrand, straßenränder, straßenschilder, struktuiert, strukturen, stuck, stuckateur, stuckatur, style, symbole, symmetrie, symmetrisch, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, vergangenheit, detailfoto, detailbild, ausschnitt	edificio antiguo, antiguo, casa antigua, anexado, dispuesto,
28	title	Bayerische Hypotheken und Wechselbank in München aus der Nähe	
28	keywords	altbau, altes, haus, angebaut, angeordnet, antik, antikes, architektonisch, architektur, äusseres, baustile, bauwerke, building, city, deko, dekor, dekoration, denkmal, denkmäler, details, deutsche, deutschland, downtown, draußen, europa, fassade, fassaden, fenster, fensterbank, fensterbänke, fensterscheiben, ferien, figuren, fremdenverkehr, früher, fusswege, gebäude, gebaut, geordnet, gerade, geschichte, geschichtlich, grau, hausansicht, herrlichkeiten, historic, history, hoheitsvoll, immobilien, innenstadt, innenstädte, klassik, kunst, künste, kunstvoll, luxus, macht, mächte, mauerwerke, mehrfamilienhaus, mehrfamilienhäuser, mieten, mietshaus, mietshäuser, mietwohnungen, monuments, reichtum, restauriert, säulen, schöner, schönheit, sehenswürdigkeiten, sidewalk, sightseeing, sprossen, sprossenfenster, stabil, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, stil, straßen, straßenrand, straßenränder, straßenschilder, struktuiert, strukturen, stuck, stuckateur, stuckatur, style, symbole, symmetrie, symmetrisch, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, vergangenheit, detailfoto, detailbild, ausschnitt	casa antigua, antiguo, anexado, dispuesto, arquitectónico, a
29	title	Detailansicht der Bayerische Hypotheken und Wechselbank in München	
29	keywords	altbau, altes, haus, angebaut, angeordnet, antik, antikes, architektonisch, architektur, äusseres, baustile, bauwerke, building, city, deko, dekor, dekoration, denkmal, denkmäler, details, deutsche, deutschland, downtown, draußen, europa, fassade, fassaden, fenster, fensterbank, fensterbänke, fensterscheiben, ferien, figuren, fremdenverkehr, früher, fusswege, gebäude, gebaut, geordnet, gerade, geschichte, geschichtlich, grau, hausansicht, herrlichkeiten, historic, history, hoheitsvoll, immobilien, innenstadt, innenstädte, klassik, kunst, künste, kunstvoll, luxus, macht, mächte, mauerwerke, mehrfamilienhaus, mehrfamilienhäuser, mieten, mietshaus, mietshäuser, mietwohnungen, monuments, reichtum, restauriert, säulen, schöner, schönheit, sehenswürdigkeiten, sidewalk, sightseeing, sprossen, sprossenfenster, stabil, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, stil, straßen, straßenrand, straßenränder, straßenschilder, struktuiert, strukturen, stuck, stuckateur, stuckatur, style, symbole, symmetrie, symmetrisch, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, vergangenheit, detailfoto, detailbild, ausschnitt	edificio antiguo, antiguo, casa antigua, añadido, dispuesto,
30	title	Crawford Art Gallery in Cork, Irland	Crawford Art Gallery en Cork, Irlanda
30	keywords	altbau, altes, haus, architektonisch, architektur, ausflug, ausflüge, backstein, baustile, bauwerke, bejahrt, beleuchtung, building, bürgersteige, city, downtown, draußen, einträchtig, europa, fassade, fassaden, fremdenverkehr, fußgänger, fusswege, gate, gebäude, gebaut, gepflegt, geschichte, geschichtlich, grau, grün, hausansicht, historic, history, innenstadt, innenstädte, lampen, laternen, laternenpfahl, laternenpfähle, mehrfamilienhaus, mehrfamilienhäuser, mietshaus, mietshäuser, mietwohnungen, nostalgie, nostalgisch, pedestrian, platz, plätze, reisen, reiseziele, rot, rötlich, sidewalk, sightseeing, sonnig, spazierengehen, spaziergang, spaziergänge, sprossen, sprossenfenster, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, steinwand, steinwände, straßenrand, straßenränder, straßenschilder, szenen, tourismus, touristen, town, traditionen, travel, travelling, trip, turm, türme, villas, zaun, zäune, zentren, zentrum, ziegelsteine, ziegelwand, ziegelwände, irland, romantisch	edificio antiguo, antiguo, casa antigua, arquitectónico, arq
31	title	Fernsicht des Bayrische Landtag in München	Vista lejana del Parlamento del Estado de Baviera en Múnich
31	keywords	altbau, altes, haus, angebaut, angeordnet, antik, antikes, architektonisch, architektur, äusseres, baum, bäume, baumkronen, baustile, bauwerke, building, bürgersteige, city, deko, dekor, dekoration, denkmal, denkmäler, details, deutsche, deutschland, downtown, draußen, europa, fahnen, fassade, fassaden, fenster, fensterbank, fensterbänke, fensterscheiben, ferien, figuren, flaggen, fremdenverkehr, früher, fusswege, gebäude, gebaut, geordnet, gerade, geschichte, geschichtlich, grau, hausansicht, herrlichkeiten, historic, history, hoheitsvoll, immobilien, innenstadt, innenstädte, klassik, kunst, künste, kunstvoll, luxus, macht, mächte, mauerwerke, mehrfamilienhaus, mehrfamilienhäuser, mieten, mietshaus, mietshäuser, mietwohnungen, monuments, reichtum, restauriert, säulen, schöner, schönheit, sehenswürdigkeiten, sidewalk, sightseeing, sprossen, sprossenfenster, stabil, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, stil, straßen, straßenrand, straßenränder, straßenschilder, struktuiert, strukturen, stuck, stuckateur, stuckatur, style, symbole, symmetrie, symmetrisch, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, trip, vergangenheit	edificio antiguo, antiguo, casa antigua, anexado, ordenado, 
32	title	Der Bayrische Landtag in München	El Parlamento del Estado de Baviera en Múnich
32	keywords	altbau, altes, haus, angebaut, angeordnet, antik, antikes, architektonisch, architektur, äusseres, baustile, bauwerke, building, bürgersteige, city, deko, dekor, dekoration, denkmal, denkmäler, details, deutsche, deutschland, downtown, draußen, europa, fahnen, fassade, fassaden, fenster, fensterbank, fensterbänke, fensterscheiben, ferien, figuren, flaggen, fremdenverkehr, früher, fusswege, gebäude, gebaut, geordnet, gerade, geschichte, geschichtlich, grau, hausansicht, herrlichkeiten, historic, history, hoheitsvoll, immobilien, innenstadt, innenstädte, klassik, kunst, künste, kunstvoll, luxus, macht, mächte, mauerwerke, mehrfamilienhaus, mehrfamilienhäuser, mieten, mietshaus, mietshäuser, mietwohnungen, monuments, reichtum, restauriert, säulen, schöner, schönheit, sehenswürdigkeiten, sidewalk, sightseeing, sprossen, sprossenfenster, stabil, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, stil, straßen, straßenrand, straßenränder, straßenschilder, struktuiert, strukturen, stuck, stuckateur, stuckatur, style, symbole, symmetrie, symmetrisch, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, trip, vergangenheit, detailfoto, detailbild, ausschnitt	edificio antiguo, antiguo, casa antigua, añadido, ordenado, 
33	title	Das Schloss Belvedere bei Weimar	
